,Barbecue,Italian,French,American,Chinese,Southwestern,Mexican,Southern & Soul Food,Japanese,Indian,Thai,Spanish,Cuban,Mediterranean,Cajun & Creole,German,Hawaiian,Portuguese,Greek,English,Irish,Moroccan,Hungarian,Swedish
Barbecue,0.0,0.15465225276975028,0.240529488686664,0.4000297260843404,0.13664874046393288,0.32170519895866145,0.2605732246891876,0.38470336525141435,0.14660477030042376,0.35809523778004787,0.24745669839304638,0.3907290996563748,0.5450821586715305,0.3837634478810055,0.3533288461304512,0.5349264907046515,0.4223714140956281,0.8208401624540852,0.2924134369428876,0.4329350099262472,0.5063209892218712,0.21209785186038613,0.3349296376118924,0.6980864371073882
Italian,0.15465225276975028,0.0,0.18304906403817583,0.40063407060577266,0.10901585649116627,0.40863891507036276,0.35677200943311765,0.41017028370761816,0.13073454774952709,0.33677235864936,0.22282340079474347,0.40631081309121136,0.5764309049371693,0.3512627376285936,0.40559199116506617,0.5182205913748693,0.397474319208023,0.8305184514886731,0.2592483256111405,0.4095528235561953,0.48685732523360276,0.25453722984088956,0.3990469732252207,0.7168636457757428
French,0.240529488686664,0.18304906403817583,0.0,0.31789377477102027,0.24130972417955074,0.4446503606295805,0.4340389665947265,0.35172758256311154,0.20083249379907464,0.40332086650452087,0.3269100288994229,0.3756283016205872,0.5456431096639776,0.3636310057761679,0.40396820428141017,0.43979977734939063,0.2904680364676347,0.8349712498480681,0.29468821715078347,0.2705314966561944,0.46966325396421643,0.2770648699095687,0.4344955956543351,0.6968456885137246
American,0.40002972608434045,0.40063407060577266,0.31789377477102027,0.0,0.36636016628302764,0.3507778821787617,0.4807199357420204,0.10187820178133393,0.41007375157670234,0.6611487167371124,0.5577213262971957,0.1896749337638784,0.28687473584273654,0.22489153759445615,0.2156089638388528,0.17331874083924603,0.1124412997416723,0.5543879554778598,0.2404573172263281,0.1736522203592051,0.23174637674518286,0.24721637127907906,0.32303929847666796,0.484601318865215
Chinese,0.13664874046393288,0.10901585649116627,0.24130972417955074,0.36636016628302764,0.0,0.3287395331127544,0.30195471227677895,0.35617170438182566,0.1553972836389642,0.4022591396832797,0.2674844998112535,0.36246942350639405,0.51686430326644,0.3063206336331266,0.3370311706885695,0.4812036868417324,0.3798224061012303,0.7558724808167744,0.21267152544348886,0.4128586622827377,0.431884662761065,0.18419591308630287,0.3089083785304224,0.6563554657317374
Southwestern,0.32170519895866145,0.40863891507036276,0.4446503606295805,0.3507778821787617,0.3287395331127544,0.0,0.2026378795143036,0.3203579537049711,0.4318238193145969,0.5735994946205145,0.46232061676359554,0.25767744853288144,0.4294624363022057,0.35521215688507923,0.20446706924327981,0.48474814931015386,0.42552122919171703,0.5947387020433972,0.3228034993564441,0.45331166608851947,0.43279733558323286,0.26558401385900143,0.13617529471224607,0.6407082283035224
Mexican,0.26057322468918764,0.35677200943311765,0.4340389665947265,0.4807199357420204,0.30195471227677895,0.2026378795143036,0.0,0.46413481628688363,0.39554004470365445,0.413122133539082,0.31587128176366375,0.3886682980937228,0.6056718424417543,0.46645220529196135,0.37014067900587366,0.6307194341499267,0.5284063777015753,0.7789060673630287,0.40150212281577985,0.5337560311217581,0.5841400850727948,0.3423486499619449,0.2673411205856429,0.8020281285376
Southern,0.3847033652514143,0.41017028370761816,0.35172758256311154,0.10187820178133393,0.35617170438182566,0.3203579537049711,0.46413481628688363,0.0,0.40004964713538443,0.6838801760548018,0.569579796715014,0.21667151442534838,0.250096115055636,0.24210229584469536,0.1796477598637951,0.18479352579648373,0.1693892485997112,0.5408625286667273,0.24867340655832734,0.24404419495762714,0.22433018375788247,0.21386812694552515,0.2756215304150392,0.43294185926767104
Japanese,0.14660477030042376,0.13073454774952709,0.20083249379907464,0.41007375157670234,0.15539728363896424,0.4318238193145969,0.39554004470365445,0.40004964713538443,0.0,0.4039734570056041,0.3002698846076116,0.455571431363944,0.5613135179703498,0.393408556219302,0.41775639697752587,0.5181830983943073,0.4093440244713659,0.8611088967849667,0.3023343952783631,0.42980631109975537,0.5001967491506562,0.23145916773927003,0.42191944435519924,0.6701645379722473
Indian,0.35809523778004787,0.33677235864936,0.40332086650452087,0.6611487167371124,0.4022591396832797,0.5735994946205145,0.413122133539082,0.6838801760548018,0.4039734570056041,0.0,0.1490561414843307,0.6163816998981787,0.8632525172085315,0.6417873023996817,0.6525550997668871,0.8064589385447608,0.65385628836534,1.084597524629265,0.5585450732098607,0.6196049469679344,0.7919720873287265,0.5444891691615183,0.5998037605939002,1.0370966784836542
Thai,0.24745669839304638,0.22282340079474347,0.3269100288994229,0.5577213262971957,0.2674844998112535,0.46232061676359554,0.3158712817636638,0.569579796715014,0.3002698846076116,0.1490561414843307,0.0,0.5152745153931709,0.7525103721192831,0.527535877595472,0.5401387556309079,0.6962673654954911,0.5529994071534805,0.965713396686889,0.4409436296684172,0.5383816032328337,0.6717099217532113,0.42355930790052837,0.4712009430351095,0.9174225924363124
Spanish,0.3907290996563748,0.40631081309121136,0.3756283016205872,0.1896749337638784,0.36246942350639405,0.25767744853288144,0.3886682980937228,0.21667151442534838,0.455571431363944,0.6163816998981787,0.5152745153931709,0.0,0.3413823418555109,0.22150240970548418,0.164534500903955,0.30962211441223136,0.2557850112826003,0.5112291463572122,0.23875050937014267,0.27599200449692496,0.2924757367501756,0.2890326901575866,0.24744764274090805,0.5850255244446951
Cuban,0.5450821586715305,0.5764309049371693,0.5456431096639776,0.28687473584273654,0.51686430326644,0.4294624363022057,0.6056718424417543,0.250096115055636,0.5613135179703498,0.8632525172085314,0.7525103721192832,0.3413823418555109,0.0,0.2968589562292298,0.2438017099498967,0.26656418234202695,0.37496819046591107,0.40871313252780905,0.3498654595858958,0.44588908123333654,0.20733361717862467,0.3529905257118968,0.42068945807002356,0.2708600084927534
Mediterranean,0.3837634478810056,0.3512627376285936,0.3636310057761679,0.22489153759445615,0.3063206336331266,0.35521215688507923,0.46645220529196135,0.24210229584469536,0.393408556219302,0.6417873023996817,0.527535877595472,0.22150240970548418,0.2968589562292298,0.0,0.21231267893685873,0.2809675914065861,0.27887525886798215,0.5005526097576668,0.09597294344128378,0.34459635216397855,0.1697582305061618,0.2366833795401816,0.3308665062602881,0.4765043941405063
Cajun,0.3533288461304512,0.40559199116506617,0.40396820428141017,0.2156089638388528,0.3370311706885695,0.20446706924327981,0.37014067900587366,0.1796477598637951,0.41775639697752587,0.6525550997668871,0.5401387556309079,0.164534500903955,0.2438017099498967,0.21231267893685873,0.0,0.31984298109493775,0.31013188693360383,0.4905935284599833,0.21695354771089695,0.35942979548299325,0.2604779496909822,0.2050642693144314,0.21126577421945594,0.4762853557459113
German,0.5349264907046515,0.5182205913748693,0.43979977734939063,0.17331874083924603,0.4812036868417324,0.48474814931015386,0.6307194341499267,0.18479352579648373,0.5181830983943073,0.8064589385447608,0.6962673654954911,0.30962211441223136,0.26656418234202695,0.2809675914065861,0.31984298109493775,0.0,0.1773356082260821,0.5067056093645741,0.3297974231284729,0.2644965858597392,0.18077372979667722,0.3618026585160088,0.4279978533053631,0.3977304277046582
Hawaiian,0.42237141409562806,0.397474319208023,0.2904680364676347,0.1124412997416723,0.3798224061012303,0.42552122919171703,0.5284063777015753,0.1693892485997112,0.4093440244713659,0.65385628836534,0.5529994071534805,0.2557850112826003,0.37496819046591107,0.27887525886798215,0.31013188693360383,0.1773356082260821,0.0,0.6243230884003333,0.2842170555552415,0.10747526319807336,0.2826622015902645,0.2997803630953018,0.3749428146387931,0.5366411382010612
Portuguese,0.8208401624540852,0.8305184514886731,0.8349712498480681,0.5543879554778598,0.7558724808167744,0.5947387020433972,0.7789060673630287,0.5408625286667273,0.8611088967849667,1.084597524629265,0.965713396686889,0.5112291463572122,0.40871313252780905,0.5005526097576668,0.4905935284599833,0.5067056093645741,0.6243230884003333,0.0,0.5811175532994831,0.6941572662478127,0.4091149451945251,0.6448950784063854,0.5702730443124981,0.526299395939865
Greek,0.2924134369428876,0.2592483256111405,0.29468821715078347,0.2404573172263281,0.21267152544348886,0.3228034993564441,0.40150212281577985,0.24867340655832734,0.3023343952783631,0.5585450732098607,0.4409436296684172,0.23875050937014267,0.3498654595858958,0.09597294344128378,0.21695354771089695,0.3297974231284729,0.2842170555552415,0.5811175532994831,0.0,0.34072219701850665,0.24429286432414243,0.16964339478578155,0.30261789884274853,0.5182412447751638
English,0.4329350099262472,0.4095528235561953,0.2705314966561944,0.1736522203592051,0.4128586622827377,0.45331166608851947,0.5337560311217581,0.24404419495762714,0.42980631109975537,0.6196049469679344,0.5383816032328337,0.27599200449692496,0.44588908123333654,0.34459635216397855,0.35942979548299325,0.2644965858597392,0.10747526319807336,0.6941572662478127,0.34072219701850665,0.0,0.3744238959759327,0.3530875805027919,0.42011625340207853,0.6253358698080475
Irish,0.5063209892218712,0.48685732523360276,0.46966325396421643,0.23174637674518286,0.431884662761065,0.43279733558323286,0.5841400850727948,0.22433018375788247,0.5001967491506562,0.7919720873287265,0.6717099217532113,0.2924757367501756,0.20733361717862467,0.1697582305061618,0.2604779496909822,0.18077372979667722,0.2826622015902645,0.4091149451945251,0.24429286432414243,0.3744238959759327,0.0,0.31747987115698006,0.3853609333687534,0.3495491183218956
Moroccan,0.21209785186038613,0.25453722984088956,0.2770648699095687,0.24721637127907906,0.18419591308630287,0.26558401385900143,0.3423486499619449,0.21386812694552515,0.23145916773927003,0.5444891691615183,0.42355930790052837,0.28903269015758654,0.3529905257118968,0.2366833795401816,0.2050642693144314,0.36180265851600873,0.2997803630953018,0.6448950784063854,0.16964339478578153,0.3530875805027918,0.31747987115698006,0.0,0.25758733605215234,0.5023196209558435
Hungarian,0.3349296376118924,0.3990469732252207,0.4344955956543351,0.32303929847666796,0.3089083785304224,0.13617529471224607,0.2673411205856429,0.2756215304150392,0.42191944435519924,0.5998037605939002,0.4712009430351095,0.24744764274090805,0.42068945807002356,0.3308665062602881,0.21126577421945594,0.4279978533053631,0.3749428146387931,0.5702730443124981,0.30261789884274853,0.42011625340207853,0.3853609333687534,0.25758733605215234,0.0,0.608249173230931
Swedish,0.6980864371073882,0.7168636457757428,0.6968456885137246,0.484601318865215,0.6563554657317374,0.6407082283035224,0.8020281285376,0.43294185926767104,0.6701645379722473,1.0370966784836542,0.9174225924363125,0.5850255244446951,0.2708600084927534,0.4765043941405063,0.4762853557459113,0.3977304277046582,0.5366411382010612,0.526299395939865,0.5182412447751638,0.6253358698080475,0.3495491183218956,0.5023196209558435,0.608249173230931,0.0
